Name,Group1 Count,Group1 Name,Group1 Percentage,Group2 Count,Group2 Name,Group2 Percentage,Group3 Count,Group3 Name,Group3 Percentage,Group4 Count,Group4 Name,Group4 Percentage,MaxResponseTime Ok,MaxResponseTime Ko,MaxResponseTime Total,MeanNumberOfRequestsPerSecond Ok,MeanNumberOfRequestsPerSecond Ko,MeanNumberOfRequestsPerSecond Total,MeanResponseTime Ok,MeanResponseTime Ko,MeanResponseTime Total,MinResponseTime Ok,MinResponseTime Ko,MinResponseTime Total,NumberOfRequests Ok,NumberOfRequests Ko,NumberOfRequests Total,Percentiles1 Ok,Percentiles1 Ko,Percentiles1 Total,Percentiles2 Ok,Percentiles2 Ko,Percentiles2 Total,Percentiles3 Ok,Percentiles3 Ko,Percentiles3 Total,Percentiles4 Ok,Percentiles4 Ko,Percentiles4 Total,StandardDeviation Ok,StandardDeviation Ko,StandardDeviation Total
[POST] Move student without grades - ,93,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,224.000000,0.000000,224.000000,0.041518,0.000000,0.041518,146.000000,0.000000,146.000000,112.000000,0.000000,112.000000,93.000000,0.000000,93.000000,143.000000,0.000000,143.000000,183.000000,0.000000,183.000000,198.000000,0.000000,198.000000,222.000000,0.000000,222.000000,27.000000,0.000000,27.000000
[POST] Login Check Redirect 2 - ,2598,t < 800 ms - ,100,1,800 ms < t < 1200 ms - ,0,1,t > 1200 ms - ,0,0,failed - ,0,1348.000000,0.000000,1348.000000,1.160714,0.000000,1.160714,270.000000,0.000000,270.000000,212.000000,0.000000,212.000000,2600.000000,0.000000,2600.000000,263.000000,0.000000,263.000000,323.000000,0.000000,323.000000,347.000000,0.000000,347.000000,400.000000,0.000000,400.000000,47.000000,0.000000,47.000000
[POST] Login Check Redirect 1 - ,2600,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,589.000000,0.000000,589.000000,1.160714,0.000000,1.160714,60.000000,0.000000,60.000000,45.000000,0.000000,45.000000,2600.000000,0.000000,2600.000000,55.000000,0.000000,55.000000,80.000000,0.000000,80.000000,85.000000,0.000000,85.000000,107.000000,0.000000,107.000000,17.000000,0.000000,17.000000
└─[GET] teacher Tree list Redirect 1 - ,400,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,462.000000,0.000000,462.000000,0.178571,0.000000,0.178571,320.000000,0.000000,320.000000,259.000000,0.000000,259.000000,400.000000,0.000000,400.000000,313.000000,0.000000,313.000000,370.000000,0.000000,370.000000,384.000000,0.000000,384.000000,417.000000,0.000000,417.000000,34.000000,0.000000,34.000000
[GET] Homepage - ,2800,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,468.000000,0.000000,468.000000,1.250000,0.000000,1.250000,272.000000,0.000000,272.000000,214.000000,0.000000,214.000000,2800.000000,0.000000,2800.000000,264.000000,0.000000,264.000000,325.000000,0.000000,325.000000,347.000000,0.000000,347.000000,391.000000,0.000000,391.000000,38.000000,0.000000,38.000000
[GET] Settingspage - ,2600,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,123.000000,0.000000,123.000000,1.160714,0.000000,1.160714,59.000000,0.000000,59.000000,45.000000,0.000000,45.000000,2600.000000,0.000000,2600.000000,54.000000,0.000000,54.000000,77.000000,0.000000,77.000000,83.000000,0.000000,83.000000,97.000000,0.000000,97.000000,12.000000,0.000000,12.000000
Create Course - ,0,t < 800 ms - ,0,0,800 ms < t < 1200 ms - ,0,200,t > 1200 ms - ,100,0,failed - ,0,251.000000,0.000000,251.000000,0.089286,0.000000,0.089286,175.000000,0.000000,175.000000,144.000000,0.000000,144.000000,200.000000,0.000000,200.000000,168.000000,0.000000,168.000000,211.000000,0.000000,211.000000,220.000000,0.000000,220.000000,240.000000,0.000000,240.000000,24.000000,0.000000,24.000000
└─[GET] OwnedByUser Redirect 1 - ,200,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,160.000000,0.000000,160.000000,0.089286,0.000000,0.089286,87.000000,0.000000,87.000000,67.000000,0.000000,67.000000,200.000000,0.000000,200.000000,79.000000,0.000000,79.000000,113.000000,0.000000,113.000000,121.000000,0.000000,121.000000,133.000000,0.000000,133.000000,18.000000,0.000000,18.000000
└─[GET] Course ToC skills JSON - ,2999,t < 800 ms - ,100,1,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,1084.000000,0.000000,1084.000000,1.339286,0.000000,1.339286,79.000000,0.000000,79.000000,59.000000,0.000000,59.000000,3000.000000,0.000000,3000.000000,71.000000,0.000000,71.000000,103.000000,0.000000,103.000000,110.000000,0.000000,110.000000,129.000000,0.000000,129.000000,24.000000,0.000000,24.000000
[POST] Send Message Redirect 1 - ,2300,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,773.000000,0.000000,773.000000,1.026786,0.000000,1.026786,177.000000,0.000000,177.000000,130.000000,0.000000,130.000000,2300.000000,0.000000,2300.000000,169.000000,0.000000,169.000000,222.000000,0.000000,222.000000,239.000000,0.000000,239.000000,266.000000,0.000000,266.000000,33.000000,0.000000,33.000000
[GET] student gradebook Redirect 1 - ,2400,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,360.000000,0.000000,360.000000,1.071429,0.000000,1.071429,120.000000,0.000000,120.000000,93.000000,0.000000,93.000000,2400.000000,0.000000,2400.000000,111.000000,0.000000,111.000000,155.000000,0.000000,155.000000,165.000000,0.000000,165.000000,185.000000,0.000000,185.000000,23.000000,0.000000,23.000000
[GET] ToDo - ,4700,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,468.000000,0.000000,468.000000,2.098214,0.000000,2.098214,125.000000,0.000000,125.000000,56.000000,0.000000,56.000000,4700.000000,0.000000,4700.000000,118.000000,0.000000,118.000000,163.000000,0.000000,163.000000,174.000000,0.000000,175.000000,198.000000,0.000000,198.000000,28.000000,0.000000,28.000000
[GET] Resume activity - ,1569,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,507.000000,0.000000,507.000000,0.700446,0.000000,0.700446,259.000000,0.000000,259.000000,190.000000,0.000000,190.000000,1569.000000,0.000000,1569.000000,252.000000,0.000000,251.000000,315.000000,0.000000,315.000000,338.000000,0.000000,338.000000,386.000000,0.000000,386.000000,42.000000,0.000000,42.000000
[POST] Create assignment - ,599,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,1,t > 1200 ms - ,0,0,failed - ,0,1262.000000,0.000000,1262.000000,0.267857,0.000000,0.267857,143.000000,0.000000,143.000000,108.000000,0.000000,108.000000,600.000000,0.000000,600.000000,132.000000,0.000000,132.000000,181.000000,0.000000,181.000000,194.000000,0.000000,194.000000,237.000000,0.000000,237.000000,53.000000,0.000000,53.000000
└─[GET] Password - ,2600,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,275.000000,0.000000,275.000000,1.160714,0.000000,1.160714,76.000000,0.000000,76.000000,59.000000,0.000000,59.000000,2600.000000,0.000000,2600.000000,70.000000,0.000000,70.000000,98.000000,0.000000,98.000000,104.000000,0.000000,104.000000,122.000000,0.000000,122.000000,15.000000,0.000000,15.000000
└─[GET] UserCourse Redirect 1 - ,2600,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,162.000000,0.000000,162.000000,1.160714,0.000000,1.160714,72.000000,0.000000,72.000000,57.000000,0.000000,57.000000,2600.000000,0.000000,2600.000000,66.000000,0.000000,67.000000,94.000000,0.000000,94.000000,101.000000,0.000000,101.000000,118.000000,0.000000,118.000000,14.000000,0.000000,14.000000
[GET] teacher 2 Level - ,400,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,197.000000,0.000000,197.000000,0.178571,0.000000,0.178571,119.000000,0.000000,119.000000,89.000000,0.000000,89.000000,400.000000,0.000000,400.000000,114.000000,0.000000,114.000000,148.000000,0.000000,148.000000,161.000000,0.000000,161.000000,179.000000,0.000000,179.000000,21.000000,0.000000,21.000000
[GET] Diagnostic List - ,2600,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,232.000000,0.000000,232.000000,1.160714,0.000000,1.160714,105.000000,0.000000,105.000000,82.000000,0.000000,82.000000,2600.000000,0.000000,2600.000000,96.000000,0.000000,96.000000,136.000000,0.000000,136.000000,144.000000,0.000000,144.000000,163.000000,0.000000,163.000000,20.000000,0.000000,20.000000
└─[GET] teacher Platform languages Redirect 1 - ,400,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,108.000000,0.000000,108.000000,0.178571,0.000000,0.178571,57.000000,0.000000,57.000000,45.000000,0.000000,45.000000,400.000000,0.000000,400.000000,52.000000,0.000000,52.000000,75.000000,0.000000,75.000000,81.000000,0.000000,81.000000,95.000000,0.000000,95.000000,12.000000,0.000000,12.000000
